locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNBKHAJB_01283	CDS	837	mscS_2		COG0668	Small-conductance mechanosensitive channel
CNBKHAJB_01284	CDS	456				hypothetical protein
CNBKHAJB_01285	CDS	183				hypothetical protein
CNBKHAJB_01286	CDS	1107				hypothetical protein
CNBKHAJB_01287	CDS	441				hypothetical protein
CNBKHAJB_01288	CDS	747	rstA_1		COG0745	Transcriptional regulatory protein RstA
CNBKHAJB_01289	CDS	1320	rstB_1	2.7.13.3	COG2205	Sensor protein RstB
CNBKHAJB_01290	CDS	1269	uctC	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
CNBKHAJB_01291	CDS	879	echA8	4.2.1.17	COG1024	putative enoyl-CoA hydratase EchA8
CNBKHAJB_01292	CDS	1161	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
CNBKHAJB_01293	CDS	1497	bauC_2	1.2.1.27		Malonate-semialdehyde dehydrogenase
CNBKHAJB_01294	CDS	768	iclR		COG1414	Transcriptional repressor IclR
CNBKHAJB_01295	CDS	927				HTH-type transcriptional regulator
CNBKHAJB_01296	CDS	633	rhtC_1		COG1280	Threonine efflux protein
CNBKHAJB_01297	CDS	480				hypothetical protein
CNBKHAJB_01298	CDS	2097	dpp5_1	3.4.14.-	COG0823	Dipeptidyl-peptidase 5
CNBKHAJB_01299	CDS	1926	mcpH		COG0840	Methyl-accepting chemotaxis protein McpH
CNBKHAJB_01300	CDS	2064	pepO_2	3.4.24.-	COG3590	Neutral endopeptidase
CNBKHAJB_01301	CDS	525				hypothetical protein
CNBKHAJB_01302	CDS	315				hypothetical protein
CNBKHAJB_01303	CDS	1035				hypothetical protein
CNBKHAJB_01304	CDS	831				hypothetical protein
CNBKHAJB_01305	CDS	1911				hypothetical protein
CNBKHAJB_01306	CDS	348				hypothetical protein
CNBKHAJB_01307	CDS	600				hypothetical protein
CNBKHAJB_01308	CDS	1284	dao_1	1.4.3.3	COG0665	D-amino-acid oxidase
CNBKHAJB_01309	CDS	915	dapAL	4.-.-.-		putative DapA-like lyase
CNBKHAJB_01310	CDS	1014		5.1.1.8	COG3938	4-hydroxyproline 2-epimerase
CNBKHAJB_01311	CDS	1533		1.2.1.26		Alpha-ketoglutaric semialdehyde dehydrogenase 2
CNBKHAJB_01312	CDS	1815	mdtH			Multidrug resistance protein MdtH
CNBKHAJB_01313	CDS	1068	lhpH	4.2.1.77		Trans-3-hydroxy-L-proline dehydratase
CNBKHAJB_01314	CDS	1083	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
CNBKHAJB_01315	CDS	951	lhpI	1.5.1.49	COG2423	Delta(1)-pyrroline-2-carboxylate reductase
CNBKHAJB_01316	CDS	273				hypothetical protein
CNBKHAJB_01317	CDS	903	dmlR_2		COG0583	HTH-type transcriptional regulator DmlR
CNBKHAJB_01318	CDS	969		3.4.24.3	COG3291	Microbial collagenase
CNBKHAJB_01319	CDS	1230	pepQ_2	3.4.13.9		Xaa-Pro dipeptidase
CNBKHAJB_01320	CDS	1365	puuB_3	1.4.3.-	COG0665	Gamma-glutamylputrescine oxidoreductase
CNBKHAJB_01321	CDS	555				hypothetical protein
CNBKHAJB_01322	CDS	1035				hypothetical protein
CNBKHAJB_01323	CDS	162				hypothetical protein
CNBKHAJB_01324	CDS	576	yeiP		COG0231	Elongation factor P-like protein
CNBKHAJB_01325	CDS	906				hypothetical protein
CNBKHAJB_01326	CDS	1173				hypothetical protein
CNBKHAJB_01327	CDS	645				hypothetical protein
CNBKHAJB_01328	CDS	468				hypothetical protein
CNBKHAJB_01329	CDS	447				hypothetical protein
CNBKHAJB_01330	CDS	309				hypothetical protein
CNBKHAJB_01331	CDS	654				hypothetical protein
CNBKHAJB_01332	CDS	930	cheV		COG0784	Chemotaxis protein CheV
CNBKHAJB_01333	CDS	831	cheR2	2.1.1.80	COG1352	Chemotaxis protein methyltransferase Cher2
CNBKHAJB_01334	CDS	399	flgB			Flagellar basal body rod protein FlgB
CNBKHAJB_01335	CDS	432	flgC			Flagellar basal-body rod protein FlgC
CNBKHAJB_01336	CDS	135				hypothetical protein
CNBKHAJB_01337	CDS	771				hypothetical protein
CNBKHAJB_01338	CDS	1665				hypothetical protein
CNBKHAJB_01339	CDS	744	flgF			Flagellar basal-body rod protein FlgF
CNBKHAJB_01340	CDS	789	flgG			Flagellar basal-body rod protein FlgG
CNBKHAJB_01341	CDS	711	flgH			Flagellar L-ring protein
CNBKHAJB_01342	CDS	1092	flgI			Flagellar P-ring protein
CNBKHAJB_01343	CDS	1140	flgJ	3.2.1.-		Peptidoglycan hydrolase FlgJ
CNBKHAJB_01344	CDS	1998				hypothetical protein
CNBKHAJB_01345	CDS	1221				hypothetical protein
CNBKHAJB_01346	CDS	1554	fliC_1			B-type flagellin
CNBKHAJB_01347	CDS	462				hypothetical protein
CNBKHAJB_01348	CDS	1551	fliC_2			B-type flagellin
CNBKHAJB_01349	CDS	408				hypothetical protein
CNBKHAJB_01350	CDS	1437	fliD			B-type flagellar hook-associated protein 2
CNBKHAJB_01351	CDS	120				hypothetical protein
CNBKHAJB_01352	CDS	378				hypothetical protein
CNBKHAJB_01353	CDS	399	fliS			Flagellar secretion chaperone FliS
CNBKHAJB_01354	CDS	285				hypothetical protein
CNBKHAJB_01355	CDS	1530	fleQ			Transcriptional regulator FleQ
CNBKHAJB_01356	CDS	1296	sasA_5	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_01357	CDS	1341	fleR			Response regulator protein FleR
CNBKHAJB_01358	CDS	363	fliE			Flagellar hook-basal body complex protein FliE
CNBKHAJB_01359	CDS	1737	fliF			Flagellar M-ring protein
CNBKHAJB_01360	CDS	1056	fliG			Flagellar motor switch protein FliG
CNBKHAJB_01361	CDS	789				hypothetical protein
CNBKHAJB_01362	CDS	1350	fliI	7.1.2.2		Flagellum-specific ATP synthase
CNBKHAJB_01363	CDS	444				hypothetical protein
CNBKHAJB_01364	CDS	1983				hypothetical protein
CNBKHAJB_01365	CDS	555				hypothetical protein
CNBKHAJB_01366	CDS	1065	fliM		COG1868	Flagellar motor switch protein FliM
CNBKHAJB_01367	CDS	396	fliN		COG1886	Flagellar motor switch protein FliN
CNBKHAJB_01368	CDS	630				hypothetical protein
CNBKHAJB_01369	CDS	711	fliP			Flagellar biosynthetic protein FliP
CNBKHAJB_01370	CDS	270				hypothetical protein
CNBKHAJB_01371	CDS	783	fliR			Flagellar biosynthetic protein FliR
CNBKHAJB_01372	CDS	1131	flhB			Flagellar biosynthetic protein FlhB
CNBKHAJB_01373	CDS	2103	flhA			Flagellar biosynthesis protein FlhA
CNBKHAJB_01374	CDS	1542	ftsY_2	3.6.5.4		Signal recognition particle receptor FtsY
CNBKHAJB_01375	CDS	843	fleN			Antiactivator FleN
CNBKHAJB_01376	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
CNBKHAJB_01377	CDS	372	cheY-3		COG0745	Chemotaxis protein CheY-3
CNBKHAJB_01378	CDS	744	cheZ	3.1.3.-		Protein phosphatase CheZ
CNBKHAJB_01379	CDS	2145				hypothetical protein
CNBKHAJB_01380	CDS	1140	cheB1	3.1.1.61		Protein-glutamate methylesterase/protein-glutamine glutaminase 1
CNBKHAJB_01381	CDS	747	pomA_2		COG1291	Chemotaxis protein PomA
CNBKHAJB_01382	CDS	990	motB_2		COG1360	Motility protein B
CNBKHAJB_01383	CDS	789	soj_1	3.6.4.-	COG1192	Sporulation initiation inhibitor protein Soj
CNBKHAJB_01384	CDS	750				hypothetical protein
CNBKHAJB_01385	CDS	495	cheW		COG0835	Chemotaxis protein CheW
CNBKHAJB_01386	CDS	471				hypothetical protein
CNBKHAJB_01387	CDS	801	mlaA			Intermembrane phospholipid transport system lipoprotein MlaA
CNBKHAJB_01388	CDS	465	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
CNBKHAJB_01389	CDS	417	nusB		COG0781	Transcription antitermination protein NusB
CNBKHAJB_01390	CDS	963	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
CNBKHAJB_01391	CDS	474	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
CNBKHAJB_01392	CDS	357	hpf_2			Ribosome hibernation promoting factor
CNBKHAJB_01393	CDS	1251	bepF_1			Efflux pump periplasmic linker BepF
CNBKHAJB_01394	CDS	3114	bepE_4			multidrug efflux RND transporter permease subunit BepE
CNBKHAJB_01395	CDS	162				hypothetical protein
CNBKHAJB_01396	CDS	426				hypothetical protein
CNBKHAJB_01397	CDS	1407	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
CNBKHAJB_01398	CDS	1110	zapE_1		COG1485	Cell division protein ZapE
CNBKHAJB_01399	CDS	840				hypothetical protein
CNBKHAJB_01400	CDS	801	tapT_1	2.5.1.25	COG3148	tRNA-uridine aminocarboxypropyltransferase
CNBKHAJB_01401	CDS	1254	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
CNBKHAJB_01402	CDS	657	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
CNBKHAJB_01403	CDS	405				hypothetical protein
CNBKHAJB_01404	CDS	840	dapD_1	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
CNBKHAJB_01405	CDS	2637	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
CNBKHAJB_01406	CDS	789	map	3.4.11.18	COG0024	Methionine aminopeptidase
CNBKHAJB_01407	CDS	621				hypothetical protein
CNBKHAJB_01408	CDS	729	rpsB		COG0052	Small ribosomal subunit protein uS2
CNBKHAJB_01409	CDS	849	tsf		COG0264	Elongation factor Ts
CNBKHAJB_01410	CDS	744	pyrH	2.7.4.22		Uridylate kinase
CNBKHAJB_01411	CDS	558	frr		COG0233	Ribosome-recycling factor
CNBKHAJB_01412	CDS	765	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
CNBKHAJB_01413	CDS	864	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
CNBKHAJB_01414	CDS	1236	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
CNBKHAJB_01415	CDS	1359	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
CNBKHAJB_01416	CDS	2460	bamA		COG4775	Outer membrane protein assembly factor BamA
CNBKHAJB_01417	CDS	519	skp		COG2825	Chaperone protein Skp
CNBKHAJB_01418	CDS	1050	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
CNBKHAJB_01419	CDS	453	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
CNBKHAJB_01420	CDS	771	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
CNBKHAJB_01421	CDS	207				hypothetical protein
CNBKHAJB_01422	CDS	1182	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
CNBKHAJB_01423	CDS	654	rnhB	3.1.26.4	COG0164	Ribonuclease HII
CNBKHAJB_01424	CDS	3570	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
CNBKHAJB_01425	CDS	957	accA	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CNBKHAJB_01426	CDS	1389	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
CNBKHAJB_01427	CDS	1227	sstT		COG3633	Serine/threonine transporter SstT
CNBKHAJB_01428	CDS	570				hypothetical protein
CNBKHAJB_01429	CDS	444	fur		COG0735	Ferric uptake regulation protein
CNBKHAJB_01430	CDS	525	fldA		COG0716	Flavodoxin 1
CNBKHAJB_01431	CDS	282	ybfE			putative protein YbfE
CNBKHAJB_01432	CDS	222				hypothetical protein
CNBKHAJB_01433	CDS	798	ybfF	3.1.-.-	COG0596	Esterase YbfF
CNBKHAJB_01434	CDS	603	seqA		COG3057	Negative modulator of initiation of replication
CNBKHAJB_01435	CDS	1662	pgm	5.4.2.2	COG0033	Phosphoglucomutase
CNBKHAJB_01436	CDS	1182	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
CNBKHAJB_01437	CDS	978		1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
CNBKHAJB_01438	CDS	1266	bkdB	2.3.1.168		Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
CNBKHAJB_01439	CDS	1860				hypothetical protein
CNBKHAJB_01440	CDS	648				hypothetical protein
CNBKHAJB_01441	CDS	1368	rhlE_4	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
CNBKHAJB_01442	CDS	747				hypothetical protein
CNBKHAJB_01443	CDS	918	dgcS	2.7.7.65	COG2199	Diguanylate cyclase DgcS
CNBKHAJB_01444	CDS	1968	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
CNBKHAJB_01445	CDS	1152				hypothetical protein
CNBKHAJB_01446	CDS	360				hypothetical protein
CNBKHAJB_01447	CDS	657	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
CNBKHAJB_01448	CDS	720	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
CNBKHAJB_01449	CDS	927	liuE	4.1.3.26		3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
CNBKHAJB_01450	CDS	2046	pccA	6.4.1.3	COG4770	Propionyl-CoA carboxylase alpha chain
CNBKHAJB_01451	CDS	789		4.2.1.17	COG1024	Putative enoyl-CoA hydratase
CNBKHAJB_01452	CDS	1608	accD1	2.1.3.-	COG4799	Biotin-dependent 3-methylcrotonyl-coenzyme A carboxylase beta1 subunit
CNBKHAJB_01453	CDS	1170	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
CNBKHAJB_01454	CDS	399				hypothetical protein
CNBKHAJB_01455	CDS	1185	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
CNBKHAJB_01456	CDS	1173	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
CNBKHAJB_01457	CDS	771	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CNBKHAJB_01458	rRNA	1543				16S ribosomal RNA
CNBKHAJB_01459	tRNA	77				tRNA-Ile(gat)
CNBKHAJB_01460	rRNA	2894				23S ribosomal RNA
CNBKHAJB_01461	rRNA	115				5S ribosomal RNA
CNBKHAJB_01462	CDS	1188				hypothetical protein
CNBKHAJB_01463	CDS	564				hypothetical protein
CNBKHAJB_01464	CDS	753				hypothetical protein
CNBKHAJB_01465	CDS	915			COG3039	IS5 family transposase IS4811
CNBKHAJB_01466	CDS	255				hypothetical protein
CNBKHAJB_01467	CDS	558	rssB_1			Regulator of RpoS
CNBKHAJB_01468	CDS	2784	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
CNBKHAJB_01469	CDS	1542	aer_1			Methyl-accepting chemotaxis protein Aer
CNBKHAJB_01470	CDS	3228				hypothetical protein
CNBKHAJB_01471	CDS	333				hypothetical protein
CNBKHAJB_01472	CDS	939				hypothetical protein
CNBKHAJB_01473	CDS	651				hypothetical protein
CNBKHAJB_01474	CDS	615				hypothetical protein
CNBKHAJB_01475	CDS	897				hypothetical protein
CNBKHAJB_01476	CDS	2058				hypothetical protein
CNBKHAJB_01477	CDS	606				hypothetical protein
CNBKHAJB_01478	CDS	471				hypothetical protein
CNBKHAJB_01479	CDS	819				hypothetical protein
CNBKHAJB_01480	CDS	414	umuD_1	3.4.21.-	COG1974	Protein UmuD
CNBKHAJB_01481	CDS	1254	umuC_1		COG0389	Protein UmuC
CNBKHAJB_01482	CDS	561		2.3.1.-		Acetyltransferase
CNBKHAJB_01483	CDS	615				hypothetical protein
CNBKHAJB_01484	CDS	453				hypothetical protein
CNBKHAJB_01485	CDS	414				hypothetical protein
CNBKHAJB_01486	CDS	348				hypothetical protein
CNBKHAJB_01487	CDS	1173				hypothetical protein
CNBKHAJB_01488	CDS	666				hypothetical protein
CNBKHAJB_01489	CDS	291				hypothetical protein
CNBKHAJB_01490	CDS	288				hypothetical protein
CNBKHAJB_01491	CDS	846				hypothetical protein
CNBKHAJB_01492	CDS	1209				hypothetical protein
CNBKHAJB_01493	CDS	768				hypothetical protein
CNBKHAJB_01494	CDS	2340				hypothetical protein
CNBKHAJB_01495	CDS	801				hypothetical protein
CNBKHAJB_01496	CDS	1314				hypothetical protein
CNBKHAJB_01497	CDS	954	hdaH	3.5.1.-		Histone deacetylase-like amidohydrolase
CNBKHAJB_01498	CDS	1869		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
CNBKHAJB_01499	CDS	636				hypothetical protein
CNBKHAJB_01500	CDS	573	miaE_1	1.14.99.69	COG4445	tRNA 2-(methylsulfanyl)-N(6)-isopentenyladenosine(37) hydroxylase
CNBKHAJB_01501	CDS	666			COG4758	putative protein
CNBKHAJB_01502	CDS	519				hypothetical protein
CNBKHAJB_01503	CDS	1179	ydcO		COG3135	Inner membrane protein YdcO
CNBKHAJB_01504	CDS	558	sutR		COG1396	HTH-type transcriptional regulator SutR
CNBKHAJB_01505	CDS	903				hypothetical protein
CNBKHAJB_01506	CDS	2043	sdsA1	3.1.6.21		Linear primary-alkylsulfatase
CNBKHAJB_01507	CDS	903				hypothetical protein
CNBKHAJB_01508	CDS	768	pcpC_1	1.21.4.5	COG0625	Tetrachloro-P-hydroquinone reductive dehalogenase
CNBKHAJB_01509	CDS	150				hypothetical protein
CNBKHAJB_01510	CDS	888				HTH-type transcriptional regulator
CNBKHAJB_01511	CDS	393				hypothetical protein
CNBKHAJB_01512	CDS	897				HTH-type transcriptional regulator
CNBKHAJB_01513	CDS	279				hypothetical protein
CNBKHAJB_01514	CDS	546				hypothetical protein
CNBKHAJB_01515	CDS	900	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
CNBKHAJB_01516	CDS	354				hypothetical protein
CNBKHAJB_01517	CDS	579	azoR3	1.6.5.-		FMN-dependent NADH:quinone oxidoreductase 3
CNBKHAJB_01518	CDS	756	adh	1.1.1.-		NADP-dependent (R)-specific alcohol dehydrogenase
CNBKHAJB_01519	CDS	594	comR_2		COG1309	HTH-type transcriptional repressor ComR
CNBKHAJB_01520	CDS	249				hypothetical protein
CNBKHAJB_01521	CDS	360				hypothetical protein
CNBKHAJB_01522	CDS	375				hypothetical protein
CNBKHAJB_01523	CDS	744				IS3 family transposase ISCps9
CNBKHAJB_01524	CDS	297				hypothetical protein
CNBKHAJB_01525	CDS	441				hypothetical protein
CNBKHAJB_01526	CDS	375				hypothetical protein
CNBKHAJB_01527	CDS	603				hypothetical protein
CNBKHAJB_01528	CDS	657				hypothetical protein
CNBKHAJB_01529	CDS	3024				hypothetical protein
CNBKHAJB_01530	CDS	102				hypothetical protein
CNBKHAJB_01531	CDS	4290	glgX	3.2.1.196		Glycogen debranching enzyme
CNBKHAJB_01532	CDS	378				hypothetical protein
CNBKHAJB_01533	CDS	345				hypothetical protein
CNBKHAJB_01534	CDS	210				hypothetical protein
CNBKHAJB_01535	CDS	237				hypothetical protein
CNBKHAJB_01536	CDS	1269	rfnT		COG2814	Riboflavin transporter RfnT
CNBKHAJB_01537	CDS	819	rnhA	3.1.26.4		Ribonuclease H
CNBKHAJB_01538	CDS	1347				hypothetical protein
CNBKHAJB_01539	CDS	933	rbgA		COG1161	Ribosome biogenesis GTPase A
CNBKHAJB_01540	CDS	435				hypothetical protein
CNBKHAJB_01541	CDS	1242	mgl	4.4.1.11		L-methionine gamma-lyase
CNBKHAJB_01542	CDS	1599	tyrR_1			HTH-type transcriptional regulatory protein TyrR
CNBKHAJB_01543	CDS	1836				hypothetical protein
CNBKHAJB_01544	CDS	2454	btuB_7			Vitamin B12 transporter BtuB
CNBKHAJB_01545	CDS	987	lipA	2.8.1.8	COG0320	Lipoyl synthase
CNBKHAJB_01546	CDS	708	lipB	2.3.1.181	COG0321	Octanoyltransferase
CNBKHAJB_01547	CDS	309				hypothetical protein
CNBKHAJB_01548	CDS	1200	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
CNBKHAJB_01549	CDS	882	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
CNBKHAJB_01550	CDS	1116	mrdB	2.4.99.28	COG0772	Peptidoglycan glycosyltransferase MrdB
CNBKHAJB_01551	CDS	1959	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
CNBKHAJB_01552	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
CNBKHAJB_01553	CDS	321	rsfS		COG0799	Ribosomal silencing factor RsfS
CNBKHAJB_01554	CDS	708	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
CNBKHAJB_01555	CDS	1065	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
CNBKHAJB_01556	CDS	504	lptE		COG2980	LPS-assembly lipoprotein LptE
CNBKHAJB_01557	CDS	2592	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
CNBKHAJB_01558	CDS	486				hypothetical protein
CNBKHAJB_01559	CDS	2418	lon_1	3.4.21.53		Lon protease
CNBKHAJB_01560	CDS	603				hypothetical protein
CNBKHAJB_01561	CDS	1836	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
CNBKHAJB_01562	CDS	435	ybgC_1	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
CNBKHAJB_01563	CDS	687	tolQ_1		COG0811	Tol-Pal system protein TolQ
CNBKHAJB_01564	CDS	426	tolR_1		COG0848	Tol-Pal system protein TolR
CNBKHAJB_01565	CDS	945				hypothetical protein
CNBKHAJB_01566	CDS	1350	tolB_1		COG0823	Tol-Pal system protein TolB
CNBKHAJB_01567	CDS	555	pal_2		COG2885	Peptidoglycan-associated lipoprotein
CNBKHAJB_01568	CDS	792	cpoB		COG1729	Cell division coordinator CpoB
CNBKHAJB_01569	tRNA	76				tRNA-Lys(ttt)
CNBKHAJB_01570	tRNA	76				tRNA-Lys(ttt)
CNBKHAJB_01571	tRNA	76				tRNA-Lys(ttt)
CNBKHAJB_01572	tRNA	76				tRNA-Lys(ttt)
CNBKHAJB_01573	tRNA	76				tRNA-Lys(ttt)
CNBKHAJB_01574	tRNA	76				tRNA-Lys(ttt)
CNBKHAJB_01575	CDS	1059	nadA	2.5.1.72	COG0379	Quinolinate synthase
CNBKHAJB_01576	tRNA	90				tRNA-Ser(gga)
CNBKHAJB_01577	CDS	2160				hypothetical protein
CNBKHAJB_01578	CDS	1107				Bacteriohemerythrin
CNBKHAJB_01579	CDS	396				Bacteriohemerythrin
CNBKHAJB_01580	CDS	1551				hypothetical protein
CNBKHAJB_01581	CDS	756				hypothetical protein
CNBKHAJB_01582	CDS	756				hypothetical protein
CNBKHAJB_01583	CDS	1419	sasA_6	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_01584	CDS	729	cpxR_2			Transcriptional regulatory protein CpxR
CNBKHAJB_01585	CDS	459				hypothetical protein
CNBKHAJB_01586	CDS	531	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
CNBKHAJB_01587	CDS	1449	adeP		COG2252	Adenine permease AdeP
CNBKHAJB_01588	CDS	1611	bicA_1		COG0659	Bicarbonate transporter BicA
CNBKHAJB_01589	CDS	2187				hypothetical protein
CNBKHAJB_01590	CDS	1278				hypothetical protein
CNBKHAJB_01591	CDS	1866				hypothetical protein
CNBKHAJB_01592	CDS	1605	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
CNBKHAJB_01593	CDS	975				hypothetical protein
CNBKHAJB_01594	CDS	318				hypothetical protein
CNBKHAJB_01595	CDS	351				hypothetical protein
CNBKHAJB_01596	CDS	717				hypothetical protein
CNBKHAJB_01597	CDS	876	azoB	1.7.-.-		NAD(P)H azoreductase
CNBKHAJB_01598	CDS	900	yhaJ		COG0583	HTH-type transcriptional regulator YhaJ
CNBKHAJB_01599	CDS	447	mhqP_1	1.-.-.-	COG2259	Putative oxidoreductase MhqP
CNBKHAJB_01600	CDS	834				hypothetical protein
CNBKHAJB_01601	CDS	642				hypothetical protein
CNBKHAJB_01602	CDS	447	mhqP_2	1.-.-.-	COG2259	Putative oxidoreductase MhqP
CNBKHAJB_01603	CDS	984	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
CNBKHAJB_01604	CDS	1380	modF		COG1119	ABC transporter ATP-binding protein ModF
CNBKHAJB_01605	CDS	1158	nemA_2	1.3.1.-	COG1902	N-ethylmaleimide reductase
CNBKHAJB_01606	CDS	441				hypothetical protein
CNBKHAJB_01607	CDS	921	dmlR_3		COG0583	HTH-type transcriptional regulator DmlR
CNBKHAJB_01608	CDS	834				hypothetical protein
CNBKHAJB_01609	CDS	1530	pntA_1	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
CNBKHAJB_01610	CDS	1410	pntB_1	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
CNBKHAJB_01611	CDS	588				hypothetical protein
CNBKHAJB_01612	CDS	1455	rimO_1	2.8.4.4	COG0621	Ribosomal protein uS12 methylthiotransferase RimO
CNBKHAJB_01613	CDS	687				hypothetical protein
CNBKHAJB_01614	CDS	279				hypothetical protein
CNBKHAJB_01615	CDS	675				hypothetical protein
CNBKHAJB_01616	CDS	333				hypothetical protein
CNBKHAJB_01617	CDS	372				hypothetical protein
CNBKHAJB_01618	CDS	579				hypothetical protein
CNBKHAJB_01619	CDS	684	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
CNBKHAJB_01620	CDS	3906	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
CNBKHAJB_01621	CDS	2841				hypothetical protein
CNBKHAJB_01622	CDS	168				hypothetical protein
CNBKHAJB_01623	CDS	495				hypothetical protein
CNBKHAJB_01624	CDS	3855	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
CNBKHAJB_01625	CDS	3726				hypothetical protein
CNBKHAJB_01626	CDS	432				IS200/IS605 family transposase ISAzo20
CNBKHAJB_01627	CDS	2181				hypothetical protein
CNBKHAJB_01628	CDS	321				hypothetical protein
CNBKHAJB_01629	CDS	762	lepB_2	3.4.21.89	COG0681	Signal peptidase I
CNBKHAJB_01630	CDS	714	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
CNBKHAJB_01631	CDS	594				hypothetical protein
CNBKHAJB_01632	CDS	825				hypothetical protein
CNBKHAJB_01633	CDS	141				hypothetical protein
CNBKHAJB_01634	CDS	111				hypothetical protein
CNBKHAJB_01635	CDS	1971				hypothetical protein
CNBKHAJB_01636	CDS	144	rimO_2	2.8.4.4	COG0621	Ribosomal protein uS12 methylthiotransferase RimO
CNBKHAJB_01637	CDS	762	rimO_3	2.8.4.4	COG0621	Ribosomal protein uS12 methylthiotransferase RimO
CNBKHAJB_01638	CDS	132				hypothetical protein
CNBKHAJB_01639	CDS	1239				hypothetical protein
CNBKHAJB_01640	CDS	696			COG1136	putative ABC transporter ATP-binding protein
CNBKHAJB_01641	CDS	570				hypothetical protein
CNBKHAJB_01642	CDS	1209	yciC	3.6.5.-	COG0523	Zinc chaperone YciC
CNBKHAJB_01643	CDS	705				hypothetical protein
CNBKHAJB_01644	CDS	621				hypothetical protein
CNBKHAJB_01645	CDS	393				hypothetical protein
CNBKHAJB_01646	CDS	783	btsR_1		COG3279	Transcriptional regulatory protein BtsR
